date,state,regime,prob_Risk-On,prob_Late-Cycle,prob_Transitional,prob_Post-Shock,prob_Risk-Off
2008-09-19,3,Post-Shock,0.0,0.0,0.0,1.0,0.0
2008-09-22,3,Post-Shock,8.122340860667713e-30,1.4459595725099066e-26,7.852551325284599e-23,0.999999999996362,3.908142464044327e-12
2008-09-23,3,Post-Shock,5.345818123614105e-31,8.94878226233595e-28,6.4220293719803934e-24,1.0,6.815078396378706e-13
2008-09-24,3,Post-Shock,3.664488457874693e-32,6.074745977807231e-29,4.484877226712648e-25,0.999999999998181,2.630136344426948e-12
2008-09-25,3,Post-Shock,8.278278638184886e-35,1.3421386376069462e-31,1.0602108530290095e-27,1.0,2.58742188577196e-13
2008-09-26,3,Post-Shock,2.4992446311615407e-37,3.6282885072416643e-34,3.942404915357471e-30,1.0,1.5759038792272529e-15
2008-09-29,3,Post-Shock,2.6476870686318195e-39,3.3108099550244245e-36,5.60322582595142e-32,1.0,6.995257515852738e-16
2008-09-30,3,Post-Shock,6.687929877634977e-39,9.756987781866064e-36,1.3705861244933583e-31,1.0,1.862191706473207e-15
2008-10-01,3,Post-Shock,2.5278014855197256e-41,3.700258636411099e-38,4.890873809990064e-34,1.0,2.7114751056820816e-15
2008-10-03,3,Post-Shock,2.0709596112177142e-51,1.6868751248835292e-49,1.2070170953747772e-44,1.0,4.350076561256431e-18
2008-10-06,3,Post-Shock,1.4028588245765469e-58,1.2239834189128604e-55,8.932905236666283e-51,1.0,7.860465971070756e-26
2008-10-07,3,Post-Shock,2.4235215010429012e-57,8.59340391202031e-57,1.9092960233691042e-50,1.0,2.025060036423874e-23
2008-10-08,3,Post-Shock,7.840143110314872e-61,1.1038919124214487e-62,8.840224109646175e-54,1.0,4.718612880370437e-27
2008-10-10,3,Post-Shock,3.9105029043051314e-73,2.8523884992957163e-75,1.467900736148228e-65,1.0,3.5629154621188706e-39
2008-10-13,3,Post-Shock,3.1118045617265944e-74,1.157847489509004e-76,1.2347393731390952e-66,1.0,6.786790490024716e-39
2008-10-14,3,Post-Shock,5.126147109317721e-71,2.093104723027689e-73,1.4500928197540827e-63,1.0,9.580591877780604e-36
2008-10-15,3,Post-Shock,6.223598111910486e-78,1.7079842991813568e-80,3.4926963747751806e-70,1.0,2.6629636307316197e-42
2008-10-16,3,Post-Shock,6.006576134044282e-75,1.8885206096495958e-77,2.549449778540608e-67,1.0,1.898498332392325e-39
2008-10-17,3,Post-Shock,6.606000189433693e-86,1.1887813187802256e-88,8.109199904019577e-78,1.0,3.633857957207269e-50
2008-10-20,3,Post-Shock,6.993609862977584e-84,1.2781948140048004e-86,6.699359113778271e-76,1.0,5.034441240460571e-48
2008-10-21,3,Post-Shock,6.702794771743362e-84,9.542324245150657e-87,6.490191738639244e-76,1.0,1.3999446336107595e-47
2008-10-22,3,Post-Shock,1.0270061020259608e-91,1.5569118032519044e-94,2.1929743062110857e-83,1.0,2.647027664725215e-56
2008-10-23,3,Post-Shock,4.2272292707260424e-97,5.13288606279717e-100,1.524790586860585e-88,1.0,5.383931286436223e-62
2008-10-24,3,Post-Shock,1.5122826832247998e-131,1.9067745108031052e-135,1.3807875940377232e-121,1.0,1.6725514776760428e-96
2008-10-27,3,Post-Shock,2.291818812274048e-134,2.926220352306743e-138,2.751985605581272e-124,1.0,4.130073603880326e-100
2008-10-29,3,Post-Shock,2.5469605689891376e-138,1.1825983514432474e-142,4.1855683010078815e-128,1.0,2.223148607631213e-101
2008-10-31,3,Post-Shock,3.2033493790310503e-139,6.162166479040604e-144,5.3513161474810345e-129,1.0,7.055013158565047e-100
2008-11-03,3,Post-Shock,1.520151692939882e-136,1.944198945208868e-141,1.846859234544119e-126,1.0,3.773299121183325e-96
2008-11-04,3,Post-Shock,7.279611256026743e-137,8.09550471220194e-142,9.054744131324172e-127,1.0,2.19773815600644e-96
2008-11-05,3,Post-Shock,3.5413478026258405e-145,2.7894899096443135e-150,9.809737058952516e-135,1.0,1.2604509033563109e-104
2008-11-06,3,Post-Shock,3.026628998393162e-145,2.3545232336302518e-150,8.485227360226358e-135,1.0,1.0514480658599118e-104
2008-11-07,3,Post-Shock,2.1543552066956776e-134,2.4968201055238214e-139,2.066635428470429e-124,1.0,6.293037885443904e-94
2008-11-10,3,Post-Shock,3.917247004937812e-138,2.557980106581101e-143,4.677072367264229e-128,1.0,9.941879931969312e-98
2008-11-11,3,Post-Shock,9.294411852252384e-148,2.902821929891244e-153,2.9629752990448464e-137,1.0,1.8684527406631377e-106
2008-11-12,3,Post-Shock,1.0151173163745527e-138,6.091569357649474e-144,1.3340613601362415e-128,1.0,5.231003882976766e-98
2008-11-14,3,Post-Shock,1.232054965898374e-135,1.4770627887112792e-140,1.3659209550190609e-125,1.0,3.022787155630234e-95
2008-11-17,3,Post-Shock,1.7524397675072758e-136,2.145171117399247e-141,2.1097020328107472e-126,1.0,4.818862746371456e-96
2008-11-18,3,Post-Shock,2.192771743771802e-134,3.263922915685332e-139,2.070097827118397e-124,1.0,3.1284659576782225e-94
2008-11-19,3,Post-Shock,1.836293015824057e-133,2.6548937393951188e-138,1.6702496138573273e-123,1.0,3.02879215034651e-93
2008-11-20,3,Post-Shock,2.4113127296335868e-126,5.518867933753424e-131,1.109540465677006e-116,1.0,1.654403776256348e-86
2008-11-21,3,Post-Shock,1.8987775562436014e-129,2.6663196618167494e-134,1.1003211373031668e-119,1.0,2.250105094514422e-89
2008-11-24,3,Post-Shock,9.005235856780392e-129,1.5710447352671266e-133,5.120807128135046e-119,1.0,9.181729126110344e-89
2008-11-25,3,Post-Shock,3.198975301286548e-122,8.645837826872861e-127,9.470893297467605e-113,1.0,1.0719331330887012e-82
2008-11-26,3,Post-Shock,2.085247273925321e-117,5.875331500986954e-122,3.623989913115824e-108,1.0,3.146103171325599e-79
2008-11-28,3,Post-Shock,1.429301536587699e-85,5.606685156531958e-89,1.0594140936710982e-77,1.0,1.5327593397604415e-54
2008-12-01,3,Post-Shock,1.2940642018939342e-85,4.8718869905012736e-89,9.827059737826095e-78,1.0,1.41483270710007e-54
2008-12-02,3,Post-Shock,3.6130199652597197e-78,2.996237973108353e-81,1.6004768026079275e-70,1.0,1.2328309416640217e-44
2008-12-03,3,Post-Shock,5.257184250708689e-72,9.975161136987462e-75,1.4603566631202524e-64,1.0,3.7112250329604e-37
2008-12-04,3,Post-Shock,4.328847221936969e-71,8.949076750278228e-74,1.1175108270757432e-63,1.0,1.9766401470686496e-36
2008-12-05,3,Post-Shock,4.068262737872777e-74,9.124131110881703e-77,1.4566436426471878e-66,1.0,1.700115007379807e-38
2008-12-08,3,Post-Shock,5.8875891836913634e-67,1.6720696178158876e-69,1.0145898560099213e-59,1.0,6.62374863057988e-33
2008-12-10,3,Post-Shock,7.418492345764487e-67,1.6488946011393395e-69,1.1016851215765277e-59,1.0,4.0571880945621097e-35
2008-12-11,3,Post-Shock,2.0790684543809198e-66,5.953906305022243e-68,3.097117598463638e-59,1.0,1.563963845149863e-33
2008-12-12,3,Post-Shock,1.4006351582177106e-59,4.518622274441443e-57,1.0658515224700832e-51,1.0,1.859424999227776e-28
2008-12-15,3,Post-Shock,5.587598738461617e-51,3.218030638879935e-48,1.3422205217091649e-43,1.0,6.055005552958629e-22
2008-12-16,3,Post-Shock,5.5119435042712845e-50,3.619621501945657e-47,1.0894815020613585e-42,1.0,1.6633105232560225e-23
2008-12-17,3,Post-Shock,5.667498084580226e-52,2.670598000806357e-52,1.95691435301723e-45,1.0,2.538033497635113e-23
2008-12-18,3,Post-Shock,1.6617682158028594e-54,1.6086371426785788e-56,6.62270169236017e-48,1.0,1.0041889278011346e-27
2008-12-19,3,Post-Shock,5.324717045803002e-53,5.088860162484268e-55,1.6298755683983247e-46,1.0,7.984445170075705e-30
2008-12-22,3,Post-Shock,4.30735863308445e-53,3.9391655892378406e-55,1.2976700486971504e-46,1.0,2.4655461031286827e-30
2008-12-23,3,Post-Shock,1.320653205326291e-47,8.692600355176732e-45,2.588733008378491e-40,1.0,1.0316797633502453e-30
2008-12-24,3,Post-Shock,1.103821666173365e-39,1.1843467096480548e-36,1.3632650035722896e-32,1.0,1.8162215171881248e-19
2008-12-26,3,Post-Shock,2.8662804353085197e-43,2.9446460498969707e-40,3.9434053269388055e-36,1.0,1.9136471161806933e-18
2008-12-29,3,Post-Shock,3.3397067788933133e-41,3.285304618386472e-38,4.416274211484239e-34,1.0,1.7819069923200206e-21
2008-12-30,3,Post-Shock,5.98281300064208e-39,7.00711465781913e-36,6.897705956414201e-32,1.0,8.345771431877294e-19
2008-12-31,3,Post-Shock,4.2512495043013313e-44,4.2942587068952686e-41,4.4211759517811096e-37,1.0,2.6124912755073253e-18
2009-01-02,3,Post-Shock,5.062994011846265e-47,7.904375848876915e-48,8.752627992538735e-41,1.0,9.350745348658725e-24
